Unnamed: 0,size,calories_kcal,fats_g,sod_mg,carb_g,fiber_g,sugar_g,protein_g,vitA_g,calcium_mg,thiamin_mg,zinc_mg,potassium_mg,magnesium_mg,vitE_mg,vitK_mcg,vitC_mg,vitB6_mg,copper_mg,carotene_mg,carotene_mcg,cryptoxanthin_mcg,lycopene_mcg,cholesterol_mg,quality
208,4,80,3,55,9,1,2,2,2580,15,0,0,131,11,0,10,0,0,0,1256,581,0,1,4,2
209,4,80,3,55,9,1,2,2,2580,15,0,0,131,11,0,10,0,0,0,1256,581,0,1,4,2
210,1,20,0,13,2,0,0,0,647,3,0,0,32,2,0,2,0,0,0,315,146,0,0,1,3
211,1,11,0,7,1,0,0,0,365,2,0,0,18,1,0,1,0,0,0,177,82,0,0,0,3
212,1,158,4,192,23,3,3,5,6512,30,0,1,312,28,1,6,0,0,0,3189,1438,0,3737,20,1
213,2,105,3,127,15,2,2,3,4324,20,0,0,207,18,0,4,0,0,0,2118,955,0,2482,13,1
214,6,105,3,127,15,2,2,3,4324,20,0,0,207,18,0,4,0,0,0,2118,955,0,2482,13,1
215,6,105,3,127,15,2,2,3,4324,20,0,0,207,18,0,4,0,0,0,2118,955,0,2482,13,1
216,6,105,3,127,15,2,2,3,4324,20,0,0,207,18,0,4,0,0,0,2118,955,0,2482,13,1
217,1,17,0,21,2,0,0,0,721,3,0,0,34,3,0,0,0,0,0,353,159,0,413,2,3
218,1,9,0,12,1,0,0,0,407,1,0,0,19,1,0,0,0,0,0,199,89,0,233,1,3
219,1,161,6,48,19,5,4,6,7477,43,0,1,404,38,0,6,0,0,0,3637,1697,0,0,15,0
220,2,71,2,21,8,2,2,2,3300,19,0,0,178,16,0,2,0,0,0,1605,749,0,0,6,2
221,4,71,2,21,8,2,2,2,3300,19,0,0,178,16,0,2,0,0,0,1605,749,0,0,6,2
222,4,80,3,24,9,2,2,3,3738,21,0,0,202,19,0,3,0,0,0,1818,848,0,0,7,1
223,4,71,2,21,8,2,2,2,3300,19,0,0,178,16,0,2,0,0,0,1605,749,0,0,6,2
224,4,71,2,21,8,2,2,2,3300,19,0,0,178,16,0,2,0,0,0,1605,749,0,0,6,2
225,1,17,0,5,2,0,0,0,828,4,0,0,44,4,0,0,0,0,0,402,187,0,0,1,3
226,1,10,0,3,1,0,0,0,467,2,0,0,25,2,0,0,0,0,0,227,106,0,0,0,3
227,1,135,2,194,22,2,3,5,6686,69,0,0,212,20,0,5,0,0,0,3251,1515,0,0,17,1
228,2,90,1,129,14,1,2,3,4440,45,0,0,141,13,0,3,0,0,0,2159,1006,0,0,11,1
229,6,90,1,129,14,1,2,3,4440,45,0,0,141,13,0,3,0,0,0,2159,1006,0,0,11,1
230,6,90,1,129,14,1,2,3,4440,45,0,0,141,13,0,3,0,0,0,2159,1006,0,0,11,1
231,1,15,0,21,2,0,0,0,740,7,0,0,23,2,0,0,0,0,0,360,167,0,0,1,3
232,1,8,0,12,1,0,0,0,417,4,0,0,13,1,0,0,0,0,0,203,94,0,0,1,3
233,2,81,1,88,13,0,0,3,1122,23,0,0,79,11,0,0,1,0,0,0,0,0,0,0,3
234,1,13,0,14,2,0,0,0,187,3,0,0,13,1,0,0,0,0,0,0,0,0,0,0,3
235,2,54,1,55,8,0,0,2,470,15,0,0,51,6,0,0,0,0,0,0,0,0,0,0,3
236,1,13,0,13,2,0,0,0,117,3,0,0,13,1,0,0,0,0,0,0,0,0,0,0,3
237,1,153,4,222,22,2,2,5,7352,35,0,0,248,20,0,6,2,0,0,3586,1651,0,1753,7,1
238,2,102,3,147,14,1,1,3,4882,23,0,0,164,13,0,4,1,0,0,2381,1096,0,1164,5,2
239,6,102,3,147,14,1,1,3,4882,23,0,0,164,13,0,4,1,0,0,2381,1096,0,1164,5,2
240,6,102,3,147,14,1,1,3,4882,23,0,0,164,13,0,4,1,0,0,2381,1096,0,1164,5,2
241,1,17,0,24,2,0,0,0,814,3,0,0,27,2,0,0,0,0,0,397,182,0,194,0,3
242,1,9,0,13,1,0,0,0,459,2,0,0,15,1,0,0,0,0,0,224,103,0,109,0,3
243,1,151,5,40,19,4,3,5,7352,40,0,0,360,30,0,6,4,0,0,3586,1651,0,1753,12,1
244,2,66,2,18,8,1,1,2,3245,18,0,0,159,13,0,3,1,0,0,1583,728,0,774,5,2
245,4,66,2,18,8,1,1,2,3245,18,0,0,159,13,0,3,1,0,0,1583,728,0,774,5,2
246,4,66,2,18,8,1,1,2,3245,18,0,0,159,13,0,3,1,0,0,1583,728,0,774,5,2
247,4,66,2,18,8,1,1,2,3245,18,0,0,159,13,0,3,1,0,0,1583,728,0,774,5,2
248,1,16,0,4,2,0,0,0,814,4,0,0,39,3,0,0,0,0,0,397,182,0,194,1,3
249,1,9,0,2,1,0,0,0,459,2,0,0,22,1,0,0,0,0,0,224,103,0,109,0,3
250,2,86,2,22,12,1,1,3,2521,22,0,0,161,11,0,0,2,0,0,0,0,0,0,8,2
251,1,14,0,3,2,0,0,0,420,3,0,0,26,1,0,0,0,0,0,0,0,0,0,1,3
252,1,133,5,51,17,2,2,5,5107,30,0,0,240,17,0,5,3,0,0,2498,1134,0,2424,15,1
253,2,58,2,22,7,1,1,2,2254,13,0,0,106,7,0,2,1,0,0,1102,500,0,1070,6,2
254,4,58,2,22,7,1,1,2,2254,13,0,0,106,7,0,2,1,0,0,1102,500,0,1070,6,2
255,4,58,2,22,7,1,1,2,2254,13,0,0,106,7,0,2,1,0,0,1102,500,0,1070,6,2
256,1,14,0,5,1,0,0,0,565,3,0,0,26,1,0,0,0,0,0,276,125,0,268,1,3
257,1,8,0,3,1,0,0,0,319,1,0,0,15,1,0,0,0,0,0,156,70,0,151,0,3
258,2,88,2,28,12,1,0,3,1689,54,0,0,124,15,0,0,1,0,0,0,0,0,0,0,3
259,1,14,0,4,2,0,0,0,281,9,0,0,20,2,0,0,0,0,0,0,0,0,0,0,3
260,2,49,1,23,7,1,0,1,1119,36,0,0,71,9,0,0,0,0,0,0,0,0,0,0,3
261,1,12,0,5,1,0,0,0,280,9,0,0,17,2,0,0,0,0,0,0,0,0,0,0,3
262,1,135,4,227,19,2,3,4,11072,40,0,0,250,23,0,12,1,0,0,5393,2498,0,0,10,1
263,2,90,2,151,12,1,2,2,7352,27,0,0,166,15,0,8,0,0,0,3581,1659,0,0,6,1
264,6,90,2,151,12,1,2,2,7352,27,0,0,166,15,0,8,0,0,0,3581,1659,0,0,6,1
265,1,15,0,25,2,0,0,0,1226,4,0,0,27,2,0,1,0,0,0,597,276,0,0,1,3
266,1,8,0,14,1,0,0,0,692,2,0,0,15,1,0,0,0,0,0,337,156,0,0,0,3
267,1,122,2,51,19,3,3,5,11253,69,0,1,261,33,0,9,1,0,0,5475,2554,0,0,10,1
268,2,54,1,22,8,1,1,2,4967,30,0,0,115,14,0,4,0,0,0,2417,1127,0,0,4,2
269,4,54,1,22,8,1,1,2,4967,30,0,0,115,14,0,4,0,0,0,2417,1127,0,0,4,2
270,4,54,1,22,8,1,1,2,4967,30,0,0,115,14,0,4,0,0,0,2417,1127,0,0,4,2
271,1,13,0,5,2,0,0,0,1246,7,0,0,28,3,0,1,0,0,0,606,282,0,0,1,3
272,1,7,0,3,1,0,0,0,703,4,0,0,16,2,0,0,0,0,0,342,159,0,0,0,3
273,2,136,5,567,13,0,0,8,3568,78,0,0,282,27,0,0,5,0,0,0,0,0,0,0,3
274,1,22,0,94,2,0,0,1,595,13,0,0,47,4,0,0,0,0,0,0,0,0,0,0,3
275,1,151,4,61,21,5,4,6,10577,69,0,1,404,35,0,8,0,0,0,5143,2401,0,0,28,1
276,2,66,1,27,9,2,1,2,4669,30,0,0,178,15,0,3,0,0,0,2270,1059,0,0,12,2
277,4,66,1,27,9,2,1,2,4669,30,0,0,178,15,0,3,0,0,0,2270,1059,0,0,12,2
278,4,66,1,27,9,2,1,2,4669,30,0,0,178,15,0,3,0,0,0,2270,1059,0,0,12,2
279,4,66,1,27,9,2,1,2,4669,30,0,0,178,15,0,3,0,0,0,2270,1059,0,0,12,2
280,1,16,0,6,2,0,0,0,1171,7,0,0,44,3,0,0,0,0,0,569,265,0,0,3,3
281,1,9,0,3,1,0,0,0,661,4,0,0,25,2,0,0,0,0,0,321,150,0,0,1,3
